point_uid,type,id
21,tinkerforge/accelerometer/acceleration/z,03/pz206026/v75
22,tinkerforge/barometer/altitude,03/pz206026/vJ6
23,tinkerforge/accelerometer/acceleration/x,03/pz206026/v75
24,tinkerforge/sound_intensity/intensity,03/pz206026/vqS
25,test/dummy/time,server01/local
26,tinkerforge/accelerometer/acceleration/y,03/pz206026/v75
27,tinkerforge/barometer/air_pressure,03/pz206026/vJ6
28,tinkerforge/ambient_light_v2/illuminance,03/pz206026/uL1
29,tinkerforge/barometer/chip_temperature,03/pz206026/vJ6
30,tinkerforge/humidity/humidity,03/pz206026/um9
31,tinkerforge/accelerometer/temperature,03/pz206026/v75
32,tinkerforge/co2/co2_concentration,03/pz206026/xt4
33,openweathermap/current/humidity,at/graz
34,openweathermap/current/weather/description,at/graz
35,openweathermap/current/weather/id,at/graz
36,openweathermap/current/wind/speed,at/graz
37,openweathermap/current/air_pressure,at/graz
38,tinkerforge/temperature/temperature,03/pz206026/tiL
39,tinkerforge/motion_detector/motion_detected,03/pz206026/wtB
40,openweathermap/current/temperature,at/graz
41,openweathermap/current/weather/group,at/graz
42,openweathermap/current/cloudiness,at/graz
43,openweathermap/current/wind/direction,at/graz
44,openweathermap/current/rain_volume,at/graz
86,gembird/egm-pwm-lan/current,html/p1eg028f/hexcluster/case
87,gembird/egm-pwm-lan/apparent_power,html/p1eg028f/hexcluster/maelcum
88,gembird/egm-pwm-lan/apparent_power,html/p1eg028f/kddesksockets
89,gembird/egm-pwm-lan/apparent_power,html/p1eg028f/pc02
90,gembird/egm-pwm-lan/voltage,html/p1eg028f/hexcluster/maelcum
91,gembird/egm-pwm-lan/voltage,html/p1eg028f/kddesksockets
92,gembird/egm-pwm-lan/current,html/p1eg028f/hexcluster/maelcum
93,gembird/egm-pwm-lan/power,html/p1eg028f/pc02
94,gembird/egm-pwm-lan/current,html/p1eg028f/pc02
95,gembird/egm-pwm-lan/power,html/p1eg028f/hexcluster/case
96,gembird/egm-pwm-lan/voltage,html/p1eg028f/pc01
97,gembird/egm-pwm-lan/power,html/p1eg028f/hexcluster/maelcum
98,gembird/egm-pwm-lan/power,html/p1eg028f/kddesksockets
99,gembird/egm-pwm-lan/apparent_power,html/p1eg028f/server01
100,gembird/egm-pwm-lan/current,html/p1eg028f/pc01
101,gembird/egm-pwm-lan/voltage,html/p1eg028f/server01
102,gembird/egm-pwm-lan/current,html/p1eg028f/server01
103,gembird/egm-pwm-lan/current,html/p1eg028f/kddesksockets
104,gembird/egm-pwm-lan/voltage,html/p1eg028f/hexcluster/case
105,gembird/egm-pwm-lan/power,html/p1eg028f/pc01
106,gembird/egm-pwm-lan/voltage,html/p1eg028f/pc02
107,gembird/egm-pwm-lan/apparent_power,html/p1eg028f/pc01
108,gembird/egm-pwm-lan/power,html/p1eg028f/server01
109,gembird/egm-pwm-lan/apparent_power,html/p1eg028f/hexcluster/case
110,tinkerforge/sound_intensity/intensity,02/pz206080/moK
111,tinkerforge/ambient_light/illuminance,02/pz206080/m3v
112,tinkerforge/barometer/air_pressure,02/pz206080/vJf
113,tinkerforge/moisture/moisture_value,02/pz206080/uU9
114,tinkerforge/barometer/altitude,02/pz206080/vJf
115,tinkerforge/co2/co2_concentration,02/pz206080/xsV
116,tinkerforge/temperature/temperature,02/pz206080/qnL
117,tinkerforge/barometer/chip_temperature,02/pz206080/vJf
118,tinkerforge/motion_detector/motion_detected,02/pz206080/qoh
119,tinkerforge/humidity/humidity,02/pz206080/ujN
120,tinkerforge/laser_range_finder/distance,01/p1eg028f/vcd
121,tinkerforge/laser_range_finder/velocity,01/p1eg028f/vcd
122,tinkerforge/io16/port/b,01/p1eg028f/qK5
123,tinkerforge/dust_detector/dust_density,01/p1eg028f/vnt
124,tinkerforge/io16/port/a,01/p1eg028f/qK5
125,tinkerforge/load_cell/weight,01/p1eg028f/veA
126,tinkerforge/distance_ir/distance,01/p1eg028f/w3u
127,tinkerforge/distance_us/distance_value,01/p1eg028f/nZA
128,tinkerforge/accelerometer/acceleration/z,02/pz206080/Cga
129,tinkerforge/accelerometer/temperature,02/pz206080/Cga
130,tinkerforge/accelerometer/acceleration/y,02/pz206080/Cga
131,tinkerforge/accelerometer/acceleration/x,02/pz206080/Cga
132,tinkerforge/accelerometer/temperature,03/pz205058/v75
133,tinkerforge/accelerometer/acceleration/z,03/pz205058/v75
134,tinkerforge/accelerometer/acceleration/y,03/pz205058/v75
135,tinkerforge/accelerometer/acceleration/x,03/pz205058/v75
136,tinkerforge/motion_detector/motion_detected,03/pz205058/wtB
137,tinkerforge/ambient_light_v2/illuminance,03/pz205058/uL1
138,tinkerforge/co2/co2_concentration,03/pz205058/xt4
139,tinkerforge/barometer/air_pressure,03/pz205058/vJ6
140,tinkerforge/barometer/altitude,03/pz205058/vJ6
141,tinkerforge/barometer/chip_temperature,03/pz205058/vJ6
142,tinkerforge/humidity/humidity,03/pz205058/um9
143,tinkerforge/sound_intensity/intensity,03/pz205058/vqS
144,tinkerforge/temperature/temperature,03/pz205058/tiL
145,tinkerforge/accelerometer/temperature,04/pz205050/ChE
146,tinkerforge/accelerometer/acceleration/z,04/pz205050/ChE
147,tinkerforge/motion_detector/motion_detected,04/pz205050/BUD
148,tinkerforge/accelerometer/acceleration/x,04/pz205050/ChE
149,tinkerforge/accelerometer/acceleration/y,04/pz205050/ChE
150,tinkerforge/ambient_light_v2/illuminance,04/pz205050/yHN
151,tinkerforge/co2/co2_concentration,04/pz205050/CVA
152,tinkerforge/barometer/altitude,04/pz205050/ytY
153,tinkerforge/barometer/air_pressure,04/pz205050/ytY
154,tinkerforge/barometer/chip_temperature,04/pz205050/ytY
155,tinkerforge/sound_intensity/intensity,04/pz205050/B3j
156,tinkerforge/temperature/temperature,04/pz205050/zGA
157,tinkerforge/humidity_v2/temperature,04/pz205050/DjJ
158,tinkerforge/humidity_v2/humidity,04/pz205050/DjJ
167,tinkerforge/humidity_v2/chip_temperature,04/pz205050/DjJ
169,tinkerforge/accelerometer/temperature,05/pz205050/CgL
170,tinkerforge/ambient_light_v2/illuminance,05/pz205050/yGr
171,tinkerforge/motion_detector/motion_detected,05/pz205050/BYx
172,tinkerforge/co2/co2_concentration,05/pz205050/CVX
173,tinkerforge/barometer/air_pressure,05/pz205050/yvB
174,tinkerforge/barometer/altitude,05/pz205050/yvB
175,tinkerforge/barometer/chip_temperature,05/pz205050/yvB
176,tinkerforge/sound_intensity/intensity,05/pz205050/Bu1
177,tinkerforge/humidity_v2/humidity,05/pz205050/Dh9
178,tinkerforge/humidity_v2/temperature,05/pz205050/Dh9
179,tinkerforge/humidity_v2/chip_temperature,05/pz205050/Dh9
180,tinkerforge/temperature/temperature,05/pz205050/zuU
181,tinkerforge/accelerometer/acceleration/x,05/pz205050/CgL
182,tinkerforge/accelerometer/acceleration/z,05/pz205050/CgL
183,tinkerforge/accelerometer/acceleration/y,05/pz205050/CgL
184,tinkerforge/motion_detector/motion_detected,06/p1eg028f/BVL
185,tinkerforge/accelerometer/acceleration/y,06/p1eg028f/Ch5
186,tinkerforge/accelerometer/temperature,06/p1eg028f/Ch5
187,tinkerforge/accelerometer/acceleration/z,06/p1eg028f/Ch5
188,tinkerforge/accelerometer/acceleration/x,06/p1eg028f/Ch5
189,tinkerforge/co2/co2_concentration,06/p1eg028f/D1Y
190,tinkerforge/ambient_light_v2/illuminance,06/p1eg028f/yJ9
191,tinkerforge/sound_intensity/intensity,06/p1eg028f/B4x
192,tinkerforge/barometer/chip_temperature,06/p1eg028f/ysU
193,tinkerforge/barometer/air_pressure,06/p1eg028f/ysU
194,tinkerforge/barometer/altitude,06/p1eg028f/ysU
195,tinkerforge/humidity_v2/humidity,06/p1eg028f/DeE
196,tinkerforge/temperature/temperature,06/p1eg028f/zGW
197,tinkerforge/humidity_v2/temperature,06/p1eg028f/DeE
198,tinkerforge/humidity_v2/chip_temperature,06/p1eg028f/DeE
199,performance/cpu/total,studentlab/server01
200,performance/memory/main,studentlab/server01
201,performance/memory/swap,studentlab/server01
202,performance/disk/system,studentlab/server01
203,performance/disk/data,studentlab/server01
204,gembird/egm-pwm-lan/current,html/p1eg028f/workbench
205,gembird/egm-pwm-lan/voltage,html/p1eg028f/workbench
206,gembird/egm-pwm-lan/power,html/p1eg028f/workbench
207,gembird/egm-pwm-lan/apparent_power,html/p1eg028f/workbench
208,tinkerforge/barometer/air_pressure,08/pz206012/vHf
209,tinkerforge/ambient_light_v2/illuminance,08/pz206012/yAJ
211,tinkerforge/accelerometer/acceleration/x,08/pz206012/zXq
212,tinkerforge/humidity/humidity,08/pz206012/xzT
213,tinkerforge/accelerometer/acceleration/y,08/pz206012/zXq
214,tinkerforge/barometer/altitude,08/pz206012/vHf
215,tinkerforge/sound_intensity/intensity,08/pz206012/voq
216,tinkerforge/barometer/chip_temperature,08/pz206012/vHf
217,tinkerforge/accelerometer/acceleration/z,08/pz206012/zXq
218,tinkerforge/co2/co2_concentration,08/pz206012/Azj
219,tinkerforge/temperature/temperature,08/pz206012/zbr
220,tinkerforge/accelerometer/temperature,08/pz206012/zXq
221,tinkerforge/motion_detector/motion_detected,07/pz206026/BQt
222,tinkerforge/co2/co2_concentration,07/pz206026/D1Z
223,tinkerforge/accelerometer/temperature,07/pz206026/Ch5
224,tinkerforge/ambient_light_v2/illuminance,07/pz206026/yLX
225,tinkerforge/sound_intensity/intensity,07/pz206026/B37
226,tinkerforge/accelerometer/acceleration/x,07/pz206026/Ch5
227,tinkerforge/accelerometer/acceleration/y,07/pz206026/Ch5
228,tinkerforge/accelerometer/acceleration/z,07/pz206026/Ch5
229,tinkerforge/temperature/temperature,07/pz206026/zjy
230,tinkerforge/barometer/air_pressure,07/pz206026/yro
231,tinkerforge/barometer/altitude,07/pz206026/yro
232,tinkerforge/barometer/chip_temperature,07/pz206026/yro
233,tinkerforge/humidity_v2/humidity,07/pz206026/Dg8
234,tinkerforge/humidity_v2/temperature,07/pz206026/Dg8
235,tinkerforge/humidity_v2/chip_temperature,07/pz206026/Dg8
236,tinkerforge/motion_detector/motion_detected,08/pz206012/whm
